"CO2 emissions by sector in South Africa",Value,Year,Units
"Electricity and heat producers",189.392,2000, Mt CO2
"Electricity and heat producers",176.081,2001, Mt CO2
"Electricity and heat producers",180.355,2002, Mt CO2
"Electricity and heat producers",200.354,2003, Mt CO2
"Electricity and heat producers",214.177,2004, Mt CO2
"Electricity and heat producers",210.271,2005, Mt CO2
"Electricity and heat producers",212.829,2006, Mt CO2
"Electricity and heat producers",219.855,2007, Mt CO2
"Electricity and heat producers",247.087,2008, Mt CO2
"Electricity and heat producers",228.079,2009, Mt CO2
"Electricity and heat producers",242.749,2010, Mt CO2
"Electricity and heat producers",230.675,2011, Mt CO2
"Electricity and heat producers",237.19,2012, Mt CO2
"Electricity and heat producers",241.048,2013, Mt CO2
"Electricity and heat producers",252.616,2014, Mt CO2
"Electricity and heat producers",232.677,2015, Mt CO2
"Electricity and heat producers",235.543,2016, Mt CO2
"Electricity and heat producers",224.788,2017, Mt CO2
"Electricity and heat producers",233.481,2018, Mt CO2
"Electricity and heat producers",253.878,2019, Mt CO2
"Electricity and heat producers",248.465,2020, Mt CO2
"Electricity and heat producers",237.616,2021, Mt CO2
"Electricity and heat producers",227.788,2022, Mt CO2
"Transport Sector",35.18,2000, Mt CO2
"Transport Sector",36.005,2001, Mt CO2
"Transport Sector",36.791,2002, Mt CO2
"Transport Sector",38.977,2003, Mt CO2
"Transport Sector",41.254,2004, Mt CO2
"Transport Sector",43.201,2005, Mt CO2
"Transport Sector",44.351,2006, Mt CO2
"Transport Sector",48.752,2007, Mt CO2
"Transport Sector",47.053,2008, Mt CO2
"Transport Sector",45.07,2009, Mt CO2
"Transport Sector",46.499,2010, Mt CO2
"Transport Sector",48.781,2011, Mt CO2
"Transport Sector",48.843,2012, Mt CO2
"Transport Sector",53.649,2013, Mt CO2
"Transport Sector",51.206,2014, Mt CO2
"Transport Sector",53.554,2015, Mt CO2
"Transport Sector",51.355,2016, Mt CO2
"Transport Sector",55.411,2017, Mt CO2
"Transport Sector",54.241,2018, Mt CO2
"Transport Sector",51.145,2019, Mt CO2
"Transport Sector",43.699,2020, Mt CO2
"Transport Sector",48.014,2021, Mt CO2
"Transport Sector",47.778,2022, Mt CO2
"Industry Sector",40.549,2000, Mt CO2
"Industry Sector",36.526,2001, Mt CO2
"Industry Sector",39.822,2002, Mt CO2
"Industry Sector",42.114,2003, Mt CO2
"Industry Sector",49.092,2004, Mt CO2
"Industry Sector",52.978,2005, Mt CO2
"Industry Sector",49.138,2006, Mt CO2
"Industry Sector",42.745,2007, Mt CO2
"Industry Sector",43.882,2008, Mt CO2
"Industry Sector",61.095,2009, Mt CO2
"Industry Sector",51.463,2010, Mt CO2
"Industry Sector",44.536,2011, Mt CO2
"Industry Sector",45.596,2012, Mt CO2
"Industry Sector",51.622,2013, Mt CO2
"Industry Sector",53.369,2014, Mt CO2
"Industry Sector",49.28,2015, Mt CO2
"Industry Sector",49.146,2016, Mt CO2
"Industry Sector",46.113,2017, Mt CO2
"Industry Sector",54.244,2018, Mt CO2
"Industry Sector",51.638,2019, Mt CO2
"Industry Sector",49.049,2020, Mt CO2
"Industry Sector",46.549,2021, Mt CO2
"Industry Sector",45.703,2022, Mt CO2
"Residential",6.568,2000, Mt CO2
"Residential",8.98,2001, Mt CO2
"Residential",11.011,2002, Mt CO2
"Residential",12.311,2003, Mt CO2
"Residential",13.955,2004, Mt CO2
"Residential",15.057,2005, Mt CO2
"Residential",16.701,2006, Mt CO2
"Residential",20.454,2007, Mt CO2
"Residential",22.041,2008, Mt CO2
"Residential",21.187,2009, Mt CO2
"Residential",9.496,2010, Mt CO2
"Residential",11.223,2011, Mt CO2
"Residential",16.992,2012, Mt CO2
"Residential",17.566,2013, Mt CO2
"Residential",17.763,2014, Mt CO2
"Residential",15.945,2015, Mt CO2
"Residential",14.418,2016, Mt CO2
"Residential",22.884,2017, Mt CO2
"Residential",16.975,2018, Mt CO2
"Residential",11.64,2019, Mt CO2
"Residential",10.717,2020, Mt CO2
"Residential",10.767,2021, Mt CO2
"Residential",10.645,2022, Mt CO2
"Commercial and Public Services",2.623,2000, Mt CO2
"Commercial and Public Services",3.828,2001, Mt CO2
"Commercial and Public Services",4.755,2002, Mt CO2
"Commercial and Public Services",5.272,2003, Mt CO2
"Commercial and Public Services",5.951,2004, Mt CO2
"Commercial and Public Services",6.464,2005, Mt CO2
"Commercial and Public Services",7.472,2006, Mt CO2
"Commercial and Public Services",9.492,2007, Mt CO2
"Commercial and Public Services",10.345,2008, Mt CO2
"Commercial and Public Services",10.048,2009, Mt CO2
"Commercial and Public Services",4.373,2010, Mt CO2
"Commercial and Public Services",5.046,2011, Mt CO2
"Commercial and Public Services",7.984,2012, Mt CO2
"Commercial and Public Services",8.569,2013, Mt CO2
"Commercial and Public Services",8.685,2014, Mt CO2
"Commercial and Public Services",7.513,2015, Mt CO2
